date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-04-17,Rhode Island,4177,118,196,3863,41.6809,-71.5118,,0.0
2020-04-17,South Carolina,4099,116,0,3983,33.8569,-80.945,,0.0
2020-04-17,South Dakota,1411,7,457,947,44.2998,-99.4388,,0.0
2020-04-17,Tennessee,6263,141,3017,3105,35.7478,-86.6923,,0.0
2020-04-17,Texas,17849,451,4190,13208,31.0545,-97.5635,,0.0
2020-04-17,Utah,2793,23,443,2327,40.15,-111.8624,,0.0
2020-04-17,Vermont,779,35,15,729,44.0459,-72.7107,,0.0
2020-04-17,Virgin Islands,51,2,46,3,18.3358,-64.8963,,0.0
2020-04-17,Virginia,7491,231,1110,6150,37.7693,-78.17,,0.0
2020-04-17,Washington,11517,603,0,10914,47.4009,-121.4905,,0.0
2020-04-17,West Virginia,775,16,223,536,38.4912,-80.9545,,0.0
2020-04-17,Wisconsin,4053,206,0,3847,44.2685,-89.6165,,0.0
2020-04-17,Wyoming,305,2,148,155,42.756,-107.3025,,0.0
2020-04-17,Recovered,0,0,58545,-58545,,,,0.0
2020-05-10,Alabama,9889,393,0,9496,32.3182,-86.9023,,0.0
2020-05-10,Alaska,379,10,324,45,61.3707,-152.4044,,0.0
2020-05-10,American Samoa,0,0,0,0,-14.270999999999999,-170.132,,0.0
2020-05-10,Arizona,11119,536,2775,7808,33.7298,-111.4312,,0.0
2020-05-10,Arkansas,4012,91,2968,953,34.9697,-92.3731,,0.0
2020-05-10,California,67600,2716,0,64884,36.1162,-119.6816,,0.0
2020-05-10,Colorado,19703,971,3023,15709,39.0598,-105.3111,,0.0
2020-05-10,Connecticut,33554,2967,5413,25174,41.5978,-72.7554,,0.0
2020-05-10,Delaware,6277,221,2537,3519,39.3185,-75.5071,,0.0
2020-05-10,Diamond Princess,49,0,0,49,,,,0.0
2020-05-10,District of Columbia,6272,323,880,5069,38.8974,-77.0268,,0.0
2020-05-10,Florida,40596,1721,0,38875,27.7663,-81.6868,,0.0
2020-05-10,Georgia,33580,1406,0,32174,33.0406,-83.6431,,0.0
2020-05-10,Grand Princess,103,3,0,100,,,,0.0
2020-05-10,Guam,151,5,124,22,13.4443,144.7937,,0.0
2020-05-10,Hawaii,632,17,551,64,21.0943,-157.4983,,0.0
2020-05-10,Idaho,2230,67,1473,690,44.2405,-114.4788,,0.0
2020-05-10,Illinois,77741,3406,0,74335,40.3495,-88.9861,,0.0
2020-05-10,Indiana,24126,1508,0,22618,39.8494,-86.2583,,0.0
2020-05-10,Iowa,11959,265,5154,6540,42.0115,-93.2105,,0.0
2020-05-10,Kansas,6951,174,371,6406,38.5266,-96.7265,,0.0
2020-05-10,Kentucky,6440,304,2308,3828,37.6681,-84.6701,,0.0
2020-05-10,Louisiana,31600,2286,20316,8998,31.1695,-91.8678,,0.0
2020-05-10,Maine,1436,64,861,511,44.6939,-69.3819,,0.0
2020-05-10,Maryland,32587,1644,2293,28650,39.0639,-76.8021,,0.0
2020-05-10,Massachusetts,77793,4979,0,72814,42.2302,-71.5301,,0.0
2020-05-10,Michigan,47182,4555,22686,19941,43.3266,-84.5361,,0.0
2020-05-10,Minnesota,11271,578,6882,3811,45.6945,-93.9002,,0.0
2020-05-10,Mississippi,9501,430,4421,4650,32.7416,-89.6787,,0.0
2020-05-10,Missouri,10068,503,0,9565,38.4561,-92.2884,,0.0
2020-05-10,Montana,458,16,422,20,46.9219,-110.4544,,0.0
2020-05-10,Nebraska,8171,90,0,8081,41.1254,-98.2681,,0.0
2020-05-10,Nevada,6120,310,182,5628,38.3135,-117.0554,,0.0
2020-05-10,New Hampshire,3071,133,1228,1710,43.4525,-71.5639,,0.0
2020-05-10,New Jersey,138754,9256,15642,113856,40.2989,-74.521,,0.0
2020-05-10,New Mexico,4863,200,1268,3395,34.8405,-106.2485,,0.0
2020-05-10,New York,335395,26641,58006,250748,42.1657,-74.9481,,0.0
2020-05-10,North Carolina,14938,564,0,14374,35.6301,-79.8064,,0.0
2020-05-10,North Dakota,1491,35,792,664,47.5289,-99.78399999999999,,0.0
